name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Auckland,New Zealand",11/01/2023,20.8,16.2,18.4,20.8,16.2,18.4,17.3,93.9,5.322,100,16.67,rain,0,0,54.7,44.6,239.5,990.1,93.6,8.2,204.7,17.5,8,10,2023-01-11T06:13:40,2023-01-11T20:43:12,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",12/01/2023,21.8,17.1,18.8,21.8,17.1,18.8,16.7,88.4,3.785,100,33.33,rain,0,0,46.8,38.9,210.6,1004.3,91.5,10.5,172.1,15,6,10,2023-01-12T06:14:38,2023-01-12T20:43:01,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",13/01/2023,22.8,17,18.9,22.8,17,18.9,15.3,80.8,0.283,100,8.33,rain,0,0,19.4,20.5,105.2,1016.1,93.8,13.7,218,18.9,8,10,2023-01-13T06:15:37,2023-01-13T20:42:47,0.7,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",14/01/2023,22,16.8,19.2,22,16.8,19.2,15.6,80.3,0.715,100,12.5,rain,0,0,22,18.4,47.8,1020.8,84.4,13.2,252.3,21.7,10,10,2023-01-14T06:16:37,2023-01-14T20:42:32,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",15/01/2023,23.8,16.9,19.7,23.8,16.9,19.7,13.5,69.9,0.017,100,4.17,rain,0,0,22,16.6,71.4,1024.7,93.6,13.7,192,16.6,6,10,2023-01-15T06:17:37,2023-01-15T20:42:14,0.75,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",16/01/2023,23.9,16.8,19.8,23.9,16.8,19.8,13.7,69.4,0.058,100,12.5,rain,0,0,23.4,18.4,72.2,1024.2,63.5,13.7,343.7,29.8,10,10,2023-01-16T06:18:38,2023-01-16T20:41:55,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",17/01/2023,23.1,15.9,18.9,23.1,15.9,18.9,14.9,78.5,8.643,100,12.5,rain,0,0,18,14.8,198.3,1018.1,71.2,12.9,154.3,13.4,7,10,2023-01-17T06:19:40,2023-01-17T20:41:33,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",18/01/2023,24.9,14.9,19.6,24.9,14.9,19.6,15.6,79.6,0.792,100,8.33,rain,0,0,25.2,29.5,214,1010.7,40.3,13.2,361.6,31.2,10,10,2023-01-18T06:20:43,2023-01-18T20:41:10,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",19/01/2023,24.1,17,20.8,24.1,17,20.8,15.7,73.8,0,0,0,rain,0,0,26.6,25.9,222.1,1006.3,29.6,13.5,330.8,28.7,10,10,2023-01-19T06:21:46,2023-01-19T20:40:44,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",20/01/2023,24,18,20.8,24,18,20.8,16.3,76.6,0,0,0,,0,0,27.7,29.5,234.8,1007.4,21.3,13.7,365.1,31.6,10,10,2023-01-20T06:22:49,2023-01-20T20:40:17,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"93119099999,NZAA,93129099999,93110099999,C4778"
"Auckland,New Zealand",21/01/2023,24.1,18.9,21.3,24.1,18.9,21.3,16.9,76.4,0,0,0,rain,0,0,32,27.7,226.5,1010.7,17.4,13.5,248.5,21.4,10,10,2023-01-21T06:23:53,2023-01-21T20:39:48,0.97,Clear,Clear conditions throughout the day.,clear-day,"93119099999,NZAA,93129099999,93110099999,C4778"
